// 3.2 - 1
外套	wai4tao4	noun 1 overcoat 2 loose coat; outer garment
一般	yi1ban1	adjective 1 same as; just like 他們倆一般高。 Tāmen liǎ yībān gāo. The two of them are of the same height. 火車飛一般地馳去。 Huǒchē fēi yībān de chí qù. The train flashed past like lightning. 2 general; ordinary; common 一般規律 yībān guīlǜ universal law; general rule 一般說來 yībān shuōlái generally speaking 一般的做法 yībān de zuòfǎ common practice 一般性辯論 yībānxìng biànlùn general debate 從一般到具體 cóng yībān dào jùtǐ from generalities to particulars 3 average; mediocre 很一般 Hěn yībān just so-so 這部小說寫得一般。 Zhè bù xiǎoshuō xiě de yībān. This novel is only mediocre. or There’s nothing striking about this novel.  noun one kind 別有一般滋味 bié yǒu yībān zīwèi have some indescribable taste
商品	shang1pin3	noun commodity; goods; merchandise 商品一條街 shāngpǐn yī tiáo jiē shopping street
折扣	zhe2kou4	noun discount; rebate 執行指示不打折扣 Zhíxíng zhǐshì bù dǎ zhékòu carry out instructions to the letter; strictly follow orders 這價錢已經打了折扣。 zhè jiàqian yǐjing dǎ le zhékòu. This is the discounted price.
省	sheng3	verb 1 economize; save (opp. 費) 省勁 shěngjìn save effort or labour 省著點兒用 shěng zhe diǎnr yòng use sparingly 省掉 (= 省去) 不少麻煩 shěng diào  bùshǎo máfan save a lot of trouble 能省就省 néng shěng jiù shěng economize wherever possible 我一個月省不下幾個錢。 Wǒ yī ge yuè shěng bù xià jǐ ge qián. I can’t save much from my monthly wages. 2 omit; leave out 省一道工序 Shěng yī dào gōngxù eliminate one step from the process 這兩個字不能省。 Zhè liǎng ge zì bù néng shěng. These two words cannot be omitted.  noun literary abbreviation (of words) “佛”是“佛陀”之省。 “Fó” shì “Fótuó” zhī shěng. 佛 is an abbreviation of 佛陀.  noun 1 province 省報 shěng bào provincial newspaper 省長 shěngzhǎng governor of a province 省軍區 shěng jūn qū provincial military command 省轄市 Shěng xiá shì municipality directly under a provincial jurisdiction 省政府 shěngzhèngfǔ provincial government 省人民代表大會 shěng rénmín dàibiǎo dàhuì provincial people’s congress 江蘇省 Jiāngsū shěng Jiangsu Province 2 provincial capital 抵省 dǐ shěng arrive in the provincial capital
牌子	pai2zi5	noun 1 plate; sign 存車牌子 cún chē páizi tally (for parking a bicycle, motorbike, etc.) 2 billboard (for notices, advertisements, or slogans) 3 brand; trademark 老牌子 lǎopáizi old brand; well-known brand 4 title of a ci or qu poem; name of a ballad tune
品質	pin3zhi4	noun 1 character; intrinsic quality 道德品質 dàodé pǐnzhì moral character; moral fibre 2 quality (of commodities, etc.) 品質優良 pǐnzhì yōuliáng of the best quality
選擇	xuan3ze2	noun choice 沒有選擇 méi·yǒu xuǎnzé have no choice at all  verb select; choose; opt 選擇職業 xuǎnzé zhíyè choose an occupation 選擇(的)餘地 xuǎnzé yúdì option; choice
樣子	yang4zi5	noun 1 appearance; shape 這件大衣的樣子很好看。 Zhè jiàn dàyī de yàngzi hěn hǎokàn. This coat is well cut. 這活兒做得不像樣子。 Zhè huór zuòdé bù xiàng yàngzi. This job has been done too crudely. 2 manner; air 裝出一副公正的樣子 Zhuāng chū yī fù gōngzhèng de yàngzi assume a righteous posture (or manner, air) 看他那高興的樣子。 Kàn tā nà gāoxìng de yàngzi. How happy he looks! 3 sample; model; pattern 衣服樣子 yīfu yàngzi clothes pattern 做出樣子來 Zuòchū yàngzi lái set an example 給我個樣子, 我好照著做。 Gěi wǒ ge yàngzi, wǒ hǎo zhào zhe zuò. Give me a model to follow. 4 colloquial tendency; likelihood 看樣子這星期他來不了。 Kànyàngzi zhè xīngqī tā láibuliǎo. It seems (or looks as if ) he won’t be able to come this week. 天像是要下雨的樣子。 Tiān xiàng shì yào xià yǔ de yàngzi. It looks like rain.
摸	mo1	verb 1 feel; stroke; touch 這衣料摸著很軟。 Zhè yīliào mō zhe hěn ruǎn. The material feels soft. 她輕輕地摸了摸孩子的頭。 Tā qīngqīng de mō le mō háizi de tóu. She gently stroked the child’s head. 2 feel for; grope for; fumble 他從床底下摸出一雙鞋來。 Tā cóng chuáng dǐxia mō chū yī shuāng xié lái. He fished out a pair of shoes from under the bed. 他在口袋裡摸了半天, 摸出一張紙條來。 Tā zài kǒudai lǐ mō le bàntiān, mō chū yī zhāng zhǐtiáo lái. He felt in his pocket for a while and finally produced a slip of paper. 3 find out; feel out; sound out 摸不著邊 mōbuzháobiān cannot grasp (the meaning of sth.); unable to understand 摸清敵情 Mōqīng díqíng find out about the enemy’s situation 摸出一套種植水稻的經驗 mō chū yī tào zhòngzhí shuǐdào de jīngyàn gain experience in growing rice; figure out a successful way to grow rice 你去摸摸他對這個問題的看法。 Nǐ qù mōmō tā duì zhège wèntí de kànfǎ. Go and sound him out on this matter. 4 pilfer; steal; filch 小偷小摸 xiǎotōu-xiǎomō pilfer; filch; petty thief 5 grope in the dark; feel one's way 在黑暗中摸著下樓 Zài hēi'àn zhōng mō zhe xià lóu grope one’s way down the stairs in the dark
店員	dian4yuan2	noun shop assistant; salesclerk; clerk; salesman or saleswoman
